"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/02/2015","Ocha Tea Cafe","Ocha Tea Cafe \u0026 Restaurant","10.44","debit","Coffee Shops","Simple Account","",""
"4/01/2015","Bibimbowl","Bibimbowl","38.47","debit","Restaurants","Simple Account","",""
"4/02/2015","Shell","SHELL OIL 57444257604","51.91","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"4/01/2015","N & S Investment","Acorns Investmen WEB PMTS   ZJ80X2          WEB ID: 9000142693","9.48","debit","Auto & Transport","Chase Checking","",""
"4/01/2015","Conservice","CONSERVICE       AEFT0401CPPD ID: 2870660875","63.66","debit","Water/Sewer/Garbage","Chase Checking","",""
"4/01/2015","Interest","Interest_Credit","0.01","credit","Interest Income","Simple Account","",""
"4/01/2015","Pho Nguyen","Pho Nguyen","34.00","debit","Restaurants","Simple Account","",""
"3/31/2015","Fdic Interest","FDIC Interest","0.24","credit","Interest Income","investment","",""
"3/30/2015","Walgreens","WALGREENS #689","10.65","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/30/2015","Amazon","Amazon.com","9.23","debit","Shopping","Chase Amazon Rewards CC","",""
"3/30/2015","Shell","SHELL OIL 57441251105","46.99","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"3/30/2015","Venmo Ccd Id","VENMO            PAYMENT    55245704        CCD ID: 2264681992","60.00","debit","Uncategorized","Chase Checking","",""
"3/30/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2421630        WEB ID: 1743132639","50.00","debit","Investment","Chase Checking","",""
"3/30/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2421602        WEB ID: 1743132639","18.47","debit","Investment","Chase Checking","",""
"3/30/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2422759        WEB ID: 1743132639","30.00","debit","Investment","Chase Checking","",""
"3/30/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2421629        WEB ID: 1743132639","11.54","debit","Investment","Chase Checking","",""
"3/29/2015","USPS","USPS 05520801734703421","22.76","debit","Shipping","Chase Amazon Rewards CC","",""
"3/29/2015","Sports Basement","SPORTS BASEMENT","57.09","debit","Shopping","Chase Amazon Rewards CC","",""
"3/29/2015","Feb skiing tickets","SQUAW VALLEY ONLINE","95.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/28/2015","Chick-Fil-A","Chick-fil-A","15.96","debit","Fast Food","Simple Account","",""
"3/27/2015","Linkedin","Linkedin","327.09","credit","Income","Simple Account","",""
"3/27/2015","Pg & E","PGANDE           WEB ONLINE 29456841030915  WEB ID: 5940742640","27.27","debit","Utilities","Chase Checking","",""
"3/27/2015","Linkedin Corpora Direct","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","1853.53","credit","Bonus","Chase Checking","",""
"3/27/2015","Ocha Tea Cafe","Ocha Tea Cafe \u0026 Restaurant","9.10","debit","Coffee Shops","Simple Account","",""
"3/27/2015","Linkedin Ora","Linkedin Ora","327.09","credit","Income","Simple Account","",""
"3/27/2015","Geico","GEICO  *AUTO","107.18","debit","Auto Insurance","Chase Amazon Rewards CC","",""
"3/27/2015","Shell","SHELL OIL 57444213706","48.64","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"3/26/2015","N & S Investment","Acorns Investmen WEB PMTS   V5CJW2          WEB ID: 9000142693","7.94","debit","Auto & Transport","Chase Checking","",""
"3/26/2015","Korean Air","KOREAN AIR  1807583666385","1245.70","debit","Air Travel","Chase Amazon Rewards CC","",""
"3/26/2015","Korean Air","KOREAN AIR  1807583666383","1245.70","debit","Air Travel","Chase Amazon Rewards CC","",""
"3/25/2015","Ocha Tea Cafe","Ocha Tea Cafe \u0026 Restaurant","8.30","debit","Coffee Shops","Simple Account","",""
"3/25/2015","Com Tam Thien Huong","Com Tam Thien Huong","12.50","debit","Restaurants","Simple Account","",""
"3/23/2015","Huong Lan Sandwiches","Huong Lan Sandwiches","7.07","debit","Restaurants","Simple Account","",""
"3/23/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2388735        WEB ID: 1743132639","18.47","debit","Investment","Chase Checking","",""
"3/23/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2388761        WEB ID: 1743132639","11.54","debit","Investment","Chase Checking","",""
"3/23/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2388763        WEB ID: 1743132639","50.00","debit","Investment","Chase Checking","",""
"3/23/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2390100        WEB ID: 1743132639","30.00","debit","Investment","Chase Checking","",""
"3/23/2015","Ocha Tea Cafe","Ocha Tea Cafe \u0026 Restaurant","6.10","debit","Coffee Shops","Simple Account","",""
"3/22/2015","Shell","SHELL OIL 57444213706","37.11","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"3/22/2015","Parking in SF","CCSF MTA PARKING METER P","7.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/21/2015","Bar in SF","Woodbury","53.00","debit","Alcohol & Bars","Simple Account","",""
"3/20/2015","Cafe Latte","Cafe Lattea","17.35","debit","Coffee Shops","Simple Account","",""
"3/20/2015","Payback Tiffany","VENMO            PAYMENT    53609206        CCD ID: 2264681992","2500.00","debit","Transfer","Chase Checking","",""
"3/20/2015","Aut O Loan","Online Payment 4458741431 To Auto Loan 2711","505.30","debit","Auto Payment","Chase Checking","",""
"3/19/2015","Mango clothes","PAYPAL           INST XFER  MANGOLINEIN     WEB ID: PAYPALSI77","146.80","debit","Unplanned","Chase Checking","",""
"3/18/2015","Whey protein powder","PAYPAL           INST XFER  THEVITAMINS     WEB ID: PAYPALSI77","50.45","debit","Unplanned","Chase Checking","",""
"3/18/2015","Acorns","Acorns Investmen WEB PMTS   51KYV2          WEB ID: 9000142693","11.57","debit","Investment","Chase Checking","",""
"3/18/2015","Stein","Stein's","30.00","debit","Alcohol & Bars","Simple Account","",""
"3/18/2015","Stein","Stein's","42.41","debit","Alcohol & Bars","Simple Account","",""
"3/17/2015","Pizza Mount","The Pizza Studio Mount","9.78","debit","Restaurants","Simple Account","",""
"3/17/2015","Ocha Tea Cafe","Ocha Tea Cafe \u0026 Restaurant","9.10","debit","Coffee Shops","Simple Account","",""
"3/17/2015","Coding book","Amazon Services-Kindle","54.39","debit","Unplanned","Chase Amazon Rewards CC","Reimbursable",""
"3/16/2015","Interest Charged Balance","INTEREST CHARGED ON BALANCE TRANSFERS C_BANKCHARGES","0.00","credit","Transfer","BankAmericard Platinum Plus Visa","",""
"3/16/2015","Interest Charged Purchases","INTEREST CHARGED ON PURCHASES C_BANKCHARGES","0.00","credit","Finance Charge","BankAmericard Platinum Plus Visa","",""
"3/16/2015","Interest Charged Bank","INTEREST CHARGED ON BANK CASH ADVANCES C_BANKCHARGES","0.00","credit","Finance Charge","BankAmericard Platinum Plus Visa","",""
"3/16/2015","Interest Charged Dir","INTEREST CHARGED ON DIR DEP&CHK CASHADV C_BANKCHARGES","0.00","credit","Finance Charge","BankAmericard Platinum Plus Visa","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2345476        WEB ID: 1743132639","43.86","debit","Investment","Chase Checking","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2346559        WEB ID: 1743132639","30.00","debit","Investment","Chase Checking","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2347708        WEB ID: 1743132639","1500.00","debit","Investment","Chase Checking","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2347709        WEB ID: 1743132639","500.00","debit","Investment","Chase Checking","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2345474        WEB ID: 1743132639","25.00","debit","Investment","Chase Checking","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2345447        WEB ID: 1743132639","18.47","debit","Investment","Chase Checking","",""
"3/16/2015","Transfer to Chase Amazon Rewards CC","Payment to Chase card ending in6781","550.00","debit","Credit Card Payment","Chase Checking","",""
"3/16/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2347706        WEB ID: 1743132639","4000.00","debit","Investment","Chase Checking","",""
"3/16/2015","Coding book","Amazon Services-Kindle","41.74","debit","Unplanned","Chase Amazon Rewards CC","Reimbursable",""
"3/16/2015","Transfer from Chase Checking","Payment Thank You - Web","550.00","credit","Credit Card Payment","Chase Amazon Rewards CC","",""
"3/16/2015","Ranch","Ranch 99","22.36","debit","Groceries","Simple Account","",""
"3/15/2015","Pho Avenue","Pho Avenue","22.00","debit","Restaurants","Simple Account","",""
"3/15/2015","Sno Zen","Sno Zen","8.45","debit","Coffee Shops","Simple Account","",""
"3/15/2015","Shell","SHELL OIL 57444213706","38.17","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"3/14/2015","Huong Lan Sandwiches","Huong Lan Sandwiches","10.32","debit","Restaurants","Simple Account","",""
"3/14/2015","Huong Lan Sandwiches","Huong Lan Sandwiches","9.25","debit","Restaurants","Simple Account","",""
"3/14/2015","Ramen House Ryowa","Ramen House Ryowa","17.50","debit","Restaurants","Simple Account","",""
"3/13/2015","Lol Chicken","Lol Chicken","34.00","debit","Restaurants","Simple Account","",""
"3/13/2015","Pay back Tiffany","VENMO            PAYMENT    52085698        CCD ID: 2264681992","2500.00","debit","Transfer","Chase Checking","",""
"3/13/2015","Linkedin Corpora Direct","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","2180.63","credit","Paycheck","Chase Checking","",""
"3/13/2015","Linkedin Corpora Direct","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","5920.45","credit","Bonus","Chase Checking","",""
"3/13/2015","Ocha Tea Cafe","Ocha Tea Cafe \u0026 Restaurant","8.15","debit","Coffee Shops","Simple Account","",""
"3/12/2015","Pho Avenue","Pho Avenue","22.00","debit","Restaurants","Simple Account","",""
"3/12/2015","Acorns","Acorns Investmen WEB PMTS   5PDHV2          WEB ID: 9000142693","6.32","debit","Investment","Chase Checking","",""
"3/11/2015","Transfer to Robinhood","Apex Clearing    ACH        10050763        WEB ID: 1561673990","3000.00","debit","Transfer","Chase Checking","",""
